,,,,,,,,,,,Demographic,,,,Clinical,,,,,,,
CovidenceID,PMID,Study ID,Title,publication.year,Study.location.1,Study.location.2,Number.of.samples.sequenced,Repository,Sequence.IDs.reported,SequenceID.article.location,Age,Gender,Race.Ethnicity.Nationality,demographic.article.location,Comorbilities,Inpatient/Outpatient,Outcomes,Severity,Signs/Symptoms,Treatment,Vaccination status,clinical.article.location
3304,36744069,Massi 2023,"Sequence analysis of SARS-CoV-2 Delta variant isolated from Makassar, South Sulawesi, Indonesia.",2023, Indonesia,,34,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table,Yes,No,No,Yes,Yes,No,No,table
3292,36711329,Doke 2022,"SARS-CoV-2 breakthrough infections during the second wave of COVID-19 at Pune, India.",2023,India,,587,GenBank; GISAID,Yes,Text; Supplemental materials,Yes,Yes,No,Text; Table,Yes,Yes,Yes,Yes,No,No,Yes,Text; table
3290,36696405,Adeyemi 2023,"SARS-CoV-2 variants-associated outbreaks of COVID-19 in a tertiary institution, North-Central Nigeria: Implications for epidemic control.",2023, Nigeria,,74,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Table; Supplemental,Yes,No,No,No,Yes,No,No,Text; table; Supplemental
3286,36472422,Hossain 2023,Genome Sequences of 23 SARS-CoV-2 Omicron-Lineage Strains from Bangladesh.,2022, Bangladesh,,23,GenBank; GISAID; Sequence read archive (SRA),Yes,Text; Table,Yes,Yes,No,Table,No,No,No,Yes,Yes,No,Yes,table
3285,36448812,Paulino-Ramírez 2023,"Genome Sequence of a Recombinant SARS-CoV-2 Lineage XAM (BA.1.1/BA.2.9) Strain from a Clinical Sample in Santo Domingo, Dominican Republic.",2022, Dominican Republic,,1,GenBank; GISAID; Sequence read archive (SRA); BioProject,Yes,Text,Yes,No,No,Text,No,No,No,Yes,Yes,No,No,Text
3281,36700580,Sgorlon 2023,Clinical and epidemiological aspects of Delta and Gamma SARS-CoV-2 variant of concern from the western Brazilian Amazon.,2022,Brazil,,540,GISAID,Yes,Text,Yes,Yes,No,Text,No,Yes,Yes,No,Yes,No,Yes,Text; table
3271,36680143,Cicchitto 2022,Effectiveness of Sotrovimab in the Omicron Storm Time: A Case Series.,2022, Italy,,14,GISAID,Yes,Text,Yes,Yes,No,Table,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Text; table
3261,36679850,Oo 2022,Genomic Tracking of SARS-CoV-2 Variants in Myanmar.,2022, Myanmar,,83,GISAID,Yes,Table,Yes,Yes,No,Table,No,No,No,Yes,No,No,Yes,table
3257,36672914,Majed 2023,SARS-CoV-2 Omicron Variant Genomic and Phylogenetic Analysis in Iraqi Kurdistan Region.,2023, Iraq,,1,GISAID,Yes,Text,Yes,Yes,No,Text; Table,No,Yes,No,No,Yes,No,Yes,Text; table
3238,36684874,Haddad-Boubaker 2022,"The Delta variant wave in Tunisia: Genetic diversity, spatio-temporal distribution and evidence of the spread of a divergent AY.122 sub-lineage.",2023, Tunisia ,,662,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Figure,No,No,No,No,No,No,No,
3236,36649247,Begnel 2023,HIV and SARS-CoV-2 infection in postpartum Kenyan women and their infants.,2023, Kenya,,2,GISAID,Yes,Text,Yes,Yes,No,Table,Yes,Yes,Yes,No,Yes,No,No,Text
3233,36690516,Huang 2023,Outbreak investigation in a COVID-19 designated hospital: The combination of phylogenetic analysis and field epidemiology study suggesting airborne transmission.,2023, Taiwan ,,45,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table,Yes,Yes,No,No,Yes,Yes,Yes,Text; table
3226,36695479,Novazzi 2023,"Genomic surveillance of SARS-CoV-2 positive passengers on flights from China to Italy, December 2022.",2023, Italy,,61,GISAID,Yes,Table,Yes,Yes,No,Text,No,No,No,No,No,No,No,Text
3225,36687316,Miyamoto 2023,Non-Omicron breakthrough infection with higher viral load and longer vaccination-infection interval improves SARS-CoV-2 BA.4/5 neutralization.,2023, Japan,,138,GISAID,No,,Yes,Yes,No,Supplemental,No,No,No,Yes,No,No,Yes,Supplemental
3218,36627290,Stanevich 2023,SARS-CoV-2 escape from cytotoxic T cells during long-term COVID-19.,2023,India,,7,GISAID; BioProject,Yes,Text,No,Yes,No,Text,Yes,Yes,No,Yes,No,Yes,No,Text; Figure
3213,36643735,Adam 2023,Risk of within-hotel transmission of SARS-CoV-2 during on-arrival quarantine in Hong Kong: an epidemiological and phylogenomic investigation.,2023, Hong Kong,,350,GISAID,No,,Yes,Yes,No,Supplemental,No,No,No,No,No,No,No,
3206,36604461,Venkatakrishnan 2023,Expanding repertoire of SARS-CoV-2 deletion mutations contributes to evolution of highly transmissible variants.,2023,United States,,102,GISAID,Yes,Text,Yes,Yes,Yes,Supplemental,Yes,Yes,No,No,No,No,Yes,Text; Supplemental
3200,36593369,VarelaAPM 2023,Genomic evidence of SARS-CoV-2 reinfection cases in southern Brazil.,2023,Brazil,,6,GISAID,Yes,Table,Yes,Yes,No,Text; Table,No,No,No,No,Yes,No,Yes,Text; table
3189,36586487,Goya 2023,"Assessing the hidden diversity underlying consensus sequences of SARS-CoV-2 using VICOS, a novel bioinformatic pipeline for identification of mixed viral populations.",2023, Argentina,,1097,GISAID; BioProject,Yes,Text; Supplemental materials,No,No,No,,No,No,No,No,No,No,No,
3184,36579069,López-Farfán 2022,Prevalence of SARS-CoV-2 and co-infection with malaria during the first wave of the pandemic (the Burkina Faso case).,2022, Burkina Faso,,13,ENA,Yes,Text; Table,Yes,Yes,No,Text; Table; Supplemental,No,No,No,No,Yes,No,No,Text
3182,36590492,Salimović-Bešić 2022,The SARS-CoV-2 Delta (B.1.617.2) variant with spike N501Y mutation in the shadow of Omicron emergence.,2022, Bosnia and Herzegovina,,2,GISAID,Yes,Text; Figure,Yes,Yes,No,Text,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Text
3171,36556222,Fogolari 2022,SARS-CoV-2 Variants in COVID-19 Disease: A Focus on Disease Severity and Vaccine Immunity in Patients Admitted to the Emergency Department.,2022, Italy,,43,GISAID,Yes,Text,Yes,Yes,No,Text,Yes,Yes,Yes,No,Yes,No,Yes,Text; table
3166,36547242,Acuña-Castillo 2022,Genomic Evidence Suggests Viral Persistence of SARS-CoV-2 for 386 Days in Health Worker: A Case Report from Santiago of Chile.,2022, Chile,,2,BioProject; BioSample,Yes,Text,Yes,Yes,No,Text,Yes,No,No,No,Yes,No,No,Text
3165,36568782,Choi 2022,Detection of SARS-CoV-2 infection clusters: The useful combination of spatiotemporal clustering and genomic analyses.,2022, Switzerland ,,172,GISAID; ENA,Yes,Supplemental materials,Yes,Yes,No,Text; Supplemental,No,No,No,No,No,No,No,
3163,36453916,Gunawardana 2022,Clinical SARS-CoV-2 Kinetic Profiles Are Dependent on the Viral Strain and Host Vaccination Status.,2022,United States,,32,GenBank,Yes,Text,Yes,Yes,No,Text,Yes,No,No,No,Yes,Yes,Yes,Text
3159,36346252,Salmona 2022,Detection of SARS-CoV-2 in Saliva and Nasopharyngeal Swabs According to Viral Variants.,2022, France,,134,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Table,No,No,No,No,No,No,No,
